index,stroke_id,motion_type,pen_state,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,velocity_mm_s,acceleration_mm_s2,blend_radius_mm
0,1,APPROACH,PEN_UP,-69.426,469.854,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
1,1,LIFT,PEN_TRANSITION,-69.426,469.854,291.29,-179.07,-0.108,-109.105,18.0,0.0,0.0
2,1,DRAW,PEN_DOWN,-69.426,469.854,291.29,-179.07,-0.108,-109.105,12.0,0.0,2.0
3,1,DRAW,PEN_DOWN,-68.467,469.663,291.08,-179.07,-0.108,-109.105,12.0,0.0,2.0
4,1,DRAW,PEN_DOWN,-67.508,469.471,290.87,-179.07,-0.108,-109.105,12.0,0.0,2.0
5,1,DRAW,PEN_DOWN,-66.565,469.234,290.655,-179.07,-0.108,-109.105,12.0,0.0,2.0
6,1,DRAW,PEN_DOWN,-65.681,468.831,290.419,-179.07,-0.108,-109.105,12.0,0.0,2.0
7,1,DRAW,PEN_DOWN,-64.797,468.428,290.182,-179.07,-0.108,-109.105,12.0,0.0,2.0
8,1,DRAW,PEN_DOWN,-63.968,467.936,289.939,-179.07,-0.108,-109.105,12.0,0.0,2.0
9,1,DRAW,PEN_DOWN,-63.201,467.345,289.689,-179.07,-0.108,-109.105,12.0,0.0,2.0
10,1,DRAW,PEN_DOWN,-62.434,466.754,289.439,-179.07,-0.108,-109.105,12.0,0.0,2.0
11,1,DRAW,PEN_DOWN,-62.154,466.538,289.347,-179.07,-0.108,-109.105,12.0,0.0,0.0
12,1,LIFT,PEN_TRANSITION,-62.154,466.538,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
13,2,APPROACH,PEN_UP,-67.905,442.979,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
14,2,LIFT,PEN_TRANSITION,-67.905,442.979,291.278,-179.07,-0.108,-109.105,18.0,0.0,0.0
15,2,DRAW,PEN_DOWN,-67.905,442.979,291.278,-179.07,-0.108,-109.105,12.0,0.0,2.0
16,2,DRAW,PEN_DOWN,-66.935,443.154,291.109,-179.07,-0.108,-109.105,12.0,0.0,2.0
17,2,DRAW,PEN_DOWN,-65.965,443.329,290.94,-179.07,-0.108,-109.105,12.0,0.0,2.0
18,2,DRAW,PEN_DOWN,-65.014,443.554,290.737,-179.07,-0.108,-109.105,12.0,0.0,2.0
19,2,DRAW,PEN_DOWN,-64.076,443.817,290.509,-179.07,-0.108,-109.105,12.0,0.0,2.0
20,2,DRAW,PEN_DOWN,-63.479,443.984,290.364,-179.07,-0.108,-109.105,12.0,0.0,0.0
21,2,LIFT,PEN_TRANSITION,-63.479,443.984,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
22,3,APPROACH,PEN_UP,-48.956,469.858,371.442,-179.07,-0.108,-109.105,18.0,0.0,0.0
23,3,LIFT,PEN_TRANSITION,-48.956,469.858,291.304,-179.07,-0.108,-109.105,18.0,0.0,0.0
24,3,DRAW,PEN_DOWN,-48.956,469.858,291.304,-179.07,-0.108,-109.105,12.0,0.0,2.0
25,3,DRAW,PEN_DOWN,-47.998,469.626,291.133,-179.07,-0.108,-109.105,12.0,0.0,2.0
26,3,DRAW,PEN_DOWN,-47.04,469.394,290.962,-179.07,-0.108,-109.105,12.0,0.0,2.0
27,3,DRAW,PEN_DOWN,-46.4,468.847,290.85,-179.07,-0.108,-109.105,12.0,0.0,2.0
28,3,DRAW,PEN_DOWN,-46.191,467.87,290.817,-179.07,-0.108,-109.105,12.0,0.0,2.0
29,3,DRAW,PEN_DOWN,-45.982,466.893,290.784,-179.07,-0.108,-109.105,12.0,0.0,2.0
30,3,DRAW,PEN_DOWN,-45.773,465.916,290.751,-179.07,-0.108,-109.105,12.0,0.0,2.0
31,3,DRAW,PEN_DOWN,-45.564,464.939,290.717,-179.07,-0.108,-109.105,12.0,0.0,2.0
32,3,DRAW,PEN_DOWN,-45.356,463.962,290.684,-179.07,-0.108,-109.105,12.0,0.0,2.0
33,3,DRAW,PEN_DOWN,-45.147,462.985,290.65,-179.07,-0.108,-109.105,12.0,0.0,2.0
34,3,DRAW,PEN_DOWN,-45.016,461.999,290.607,-179.07,-0.108,-109.105,12.0,0.0,2.0
